received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775653419837250816,16696000,0.0,0.0,0.0,0.0
1775653420037250816,16896000,0.0,0.0,0.0,0.0
1775653420237250816,17096000,0.0,0.0,0.0,0.0
1775653420437250816,17296000,0.0,0.0,0.0,0.0
1775653420637250816,17496000,0.0,0.0,0.0,0.0
1775653420837250816,17696000,0.0,0.0,0.0,0.0
1775653421037250816,17896000,0.0,0.0,0.0,0.0
1775653421237250816,18096000,0.0,0.0,0.0,0.0
1775653421437250816,18296000,0.0,0.0,0.0,0.0
1775653421637250816,18496000,0.0,0.0,0.0,0.0
1775653421837250816,18696000,0.0,0.0,0.0,0.0
1775653422037250816,18896000,0.0,0.0,0.0,0.0
1775653422237250816,19096000,0.0,0.0,0.0,0.0
1775653422437250816,19296000,0.0,0.0,0.0,0.0
1775653422637250816,19496000,0.0,0.0,0.0,0.0
1775653422837250816,19696000,0.0,0.0,0.0,0.0
1775653423037250816,19896000,0.0,0.0,0.0,0.0
1775653423237250816,20096000,0.0,0.0,0.0,0.0
1775653423437250816,20296000,0.0,0.0,0.0,0.0
1775653423637250816,20496000,0.0,0.0,0.0,0.0
1775653423837250816,20696000,0.0,0.0,0.0,0.0
1775653424037250816,20896000,0.0,0.0,0.0,0.0
1775653424237250816,21096000,0.0,0.0,0.0,0.0
1775653424437250816,21296000,0.0,0.0,0.0,0.0
1775653424637250816,21496000,0.0,0.0,0.0,0.0
1775653424837250816,21696000,0.0,0.0,0.0,0.0
1775653425037250816,21896000,0.0,0.0,0.0,0.0
1775653425237250816,22096000,0.0,0.0,0.0,0.0
1775653425437250816,22296000,0.0,0.0,0.0,0.0
1775653425637250816,22496000,0.0,0.0,0.0,0.0
1775653425837250816,22696000,0.0,0.0,0.0,0.0
1775653426037250816,22896000,0.0,0.0,0.0,0.0
1775653426237250816,23096000,0.0,0.0,0.0,0.0
1775653426437250816,23296000,0.0,0.0,0.0,0.0
1775653426637250816,23496000,0.0,0.0,0.0,0.0
1775653426837250816,23696000,0.0,0.0,0.0,0.0
1775653427037250816,23896000,0.0,0.0,0.0,0.0
1775653427233250816,24092000,0.0,0.0,0.0,0.0
1775653427437250816,24296000,0.0,0.0,0.0,0.0
1775653427637250816,24496000,0.0,0.0,0.0,0.0
1775653427837250816,24696000,0.0,0.0,0.0,0.0
1775653428037250816,24896000,0.0,0.0,0.0,0.0
1775653428237250816,25096000,0.0,0.0,0.0,0.0
1775653428437250816,25296000,0.0,0.0,0.0,0.0
1775653428637250816,25496000,0.0,0.0,0.0,0.0
1775653428837250816,25696000,0.0,0.0,0.0,0.0
1775653429037250816,25896000,0.0,0.0,0.0,0.0
1775653429237250816,26096000,0.0,0.0,0.0,0.0
1775653429433250816,26292000,0.0,0.0,0.0,0.0
1775653429637250816,26496000,0.0,0.0,0.0,0.0
1775653429837250816,26696000,0.0,0.0,0.0,0.0
1775653430037250816,26896000,0.0,0.0,0.0,0.0
1775653430237250816,27096000,0.0,0.0,0.0,0.0
1775653430437250816,27296000,0.0,0.0,0.0,0.0
1775653430637250816,27496000,0.0,0.0,0.0,0.0
1775653430837250816,27696000,0.0,0.0,0.0,0.0
1775653431037250816,27896000,0.0,0.0,0.0,0.0
1775653431237250816,28096000,0.0,0.0,0.0,0.0
1775653431437250816,28296000,0.0,0.0,0.0,0.0
1775653431637250816,28496000,0.0,0.0,0.0,0.0
1775653431837250816,28696000,0.0,0.0,0.0,0.0
1775653432037250816,28896000,0.0,0.0,0.0,0.0
1775653432237250816,29096000,0.0,0.0,0.0,0.0
1775653432437250816,29296000,0.0,0.0,0.0,0.0
1775653432637250816,29496000,0.0,0.0,0.0,0.0
1775653432837250816,29696000,0.0,0.0,0.0,0.0
