received_time_ns,des_roll,roll,des_pitch,pitch,des_yaw,yaw,err_rp,err_yaw
19477206000,0.0,0.0,0.0,0.07,0.0,0.59,0.0,0.07
19577166000,0.0,0.0,0.0,0.07,0.0,0.53,0.0,0.07
19677126000,0.0,0.0,0.0,0.06,0.0,0.47,0.0,0.07
19777086000,0.0,0.0,0.0,0.04,0.0,0.41,0.0,0.07
19877046000,0.0,0.01,0.0,0.04,0.0,0.35,0.0,0.07
19977006000,0.0,0.01,0.0,0.04,0.0,0.31,0.0,0.07
20076966000,0.0,0.02,0.0,0.03,0.0,0.27,0.0,0.07
20176926000,0.0,0.02,0.0,0.03,0.0,0.24,0.0,0.07
20276886000,0.0,0.01,0.0,0.02,0.0,0.23,0.0,0.07
20376846000,0.0,0.01,0.0,0.03,0.0,0.23,0.0,0.07
20476806000,0.0,0.0,0.0,0.03,0.0,0.24,0.0,0.06
20576766000,0.0,0.0,0.0,0.05,0.0,0.26,0.0,0.06
20676726000,0.0,0.0,0.0,0.06,0.0,0.29,0.0,0.06
20776686000,0.0,0.01,0.0,0.07,0.0,0.32,0.0,0.06
20876646000,0.0,0.01,0.0,0.07,0.0,0.35,0.0,0.06
20976606000,0.0,0.01,0.0,0.07,0.0,0.38,0.0,0.06
21077399000,0.0,0.01,0.0,0.07,0.0,0.4,0.0,0.06
21177359000,0.0,0.02,0.0,0.06,0.0,0.43,0.0,0.06
21277319000,0.0,0.03,0.0,0.03,0.0,0.45,0.0,0.06
21377279000,0.0,0.03,0.0,0.02,0.0,0.46,0.0,0.06
21477239000,0.0,0.03,0.0,0.01,0.0,0.46,0.0,0.06
21577199000,0.0,0.03,0.0,0.0,0.0,0.45,0.0,0.05
21677159000,0.0,0.03,0.0,0.0,0.0,0.44,0.0,0.05
21777119000,0.0,0.04,0.0,0.0,0.0,0.41,0.0,0.05
21877079000,0.0,0.05,0.0,0.01,0.0,0.38,0.0,0.05
21977039000,0.0,0.06,0.0,0.02,0.0,0.36,0.0,0.05
22076999000,0.0,0.07,0.0,0.02,0.0,0.33,0.0,0.05
22176959000,0.0,0.06,0.0,0.02,0.0,0.3,0.0,0.05
22276919000,0.0,0.05,0.0,0.01,0.0,0.27,0.0,0.05
22376879000,0.0,0.05,0.0,0.0,0.0,0.24,0.0,0.05
22476839000,0.0,0.04,0.0,-0.02,0.0,0.21,0.0,0.05
22576799000,0.0,0.04,0.0,-0.03,0.0,0.19,0.0,0.05
22676759000,0.0,0.04,0.0,-0.03,0.0,0.16,0.0,0.05
22776719000,0.0,0.05,0.0,-0.02,0.0,0.14,0.0,0.05
22876679000,0.0,0.05,0.0,-0.01,0.0,0.12,0.0,0.05
22976639000,0.0,0.05,0.0,0.0,0.0,0.11,0.0,0.04
23076599000,0.0,0.05,0.0,0.01,0.0,0.09,0.0,0.04
23177392000,0.0,0.06,0.0,0.02,0.0,0.08,0.0,0.04
23277352000,0.0,0.06,0.0,0.02,0.0,0.07,0.0,0.04
23377312000,0.0,0.06,0.0,0.03,0.0,0.06,0.0,0.04
23477272000,0.0,0.07,0.0,0.03,0.0,0.05,0.0,0.04
23577232000,0.0,0.07,0.0,0.03,0.0,0.04,0.0,0.04
23677192000,0.0,0.08,0.0,0.03,0.0,0.02,0.0,0.04
23777152000,0.0,0.08,0.0,0.03,0.0,0.01,0.0,0.04
23877112000,0.0,0.08,0.0,0.03,0.0,0.0,0.0,0.04
23977072000,0.0,0.09,0.0,0.03,0.0,359.99,0.0,0.04
24077032000,0.0,0.09,0.0,0.03,0.0,359.98,0.0,0.04
24176992000,0.0,0.09,0.0,0.03,0.0,359.98,0.0,0.04
24276952000,0.0,0.09,0.0,0.03,0.0,359.97,0.0,0.04
24376912000,0.0,0.09,0.0,0.03,0.0,359.96,0.0,0.04
24476872000,0.0,0.09,0.0,0.03,0.0,359.96,0.0,0.03
24576832000,0.0,0.1,0.0,0.03,0.0,359.95,0.0,0.03
24676792000,0.0,0.11,0.0,0.03,0.0,359.94,0.0,0.03
24776752000,0.0,0.12,0.0,0.03,0.0,359.94,0.0,0.03
24876712000,0.0,0.13,0.0,0.03,0.0,359.94,0.0,0.03
24976672000,0.0,0.13,0.0,0.03,0.0,359.94,0.0,0.03
25076632000,0.0,0.13,0.0,0.02,0.0,359.94,0.0,0.03
25176592000,0.0,0.13,0.0,0.02,0.0,359.95,0.0,0.03
25277385000,0.0,0.14,0.0,0.03,0.0,359.96,0.0,0.03
25377345000,0.0,0.13,0.0,0.03,0.0,359.96,0.0,0.03
25477305000,0.0,0.13,0.0,0.03,0.0,359.96,0.0,0.03
25577265000,0.0,0.13,0.0,0.03,0.0,359.95,0.0,0.03
25677225000,0.0,0.13,0.0,0.03,0.0,359.94,0.0,0.03
25777185000,0.0,0.14,0.0,0.03,0.0,359.92,0.0,0.03
25877145000,0.0,0.14,0.0,0.02,0.0,359.9,0.0,0.03
25977105000,0.0,0.15,0.0,0.02,0.0,359.89,0.0,0.03
26077065000,0.0,0.15,0.0,0.01,0.0,359.87,0.0,0.03
26177025000,0.0,0.15,0.0,0.0,0.0,359.86,0.0,0.02
26276985000,0.0,0.15,0.0,0.0,0.0,359.86,0.0,0.02
26376945000,0.0,0.15,0.0,0.01,0.0,359.85,0.0,0.02
26476905000,0.0,0.15,0.0,0.01,0.0,359.85,0.0,0.02
26576865000,0.0,0.15,0.0,0.02,0.0,359.85,0.0,0.02
26676825000,0.0,0.15,0.0,0.02,0.0,359.85,0.0,0.02
26776785000,0.0,0.15,0.0,0.02,0.0,359.86,0.0,0.02
26876745000,0.0,0.15,0.0,0.03,0.0,359.86,0.0,0.02
26976705000,0.0,0.15,0.0,0.03,0.0,359.87,0.0,0.02
27076665000,0.0,0.15,0.0,0.03,0.0,359.88,0.0,0.02
27176625000,0.0,0.16,0.0,0.04,0.0,359.88,0.0,0.02
27277418000,0.0,0.16,0.0,0.04,0.0,359.88,0.0,0.02
27377378000,0.0,0.17,0.0,0.04,0.0,359.88,0.0,0.02
27477338000,0.0,0.18,0.0,0.04,0.0,359.87,0.0,0.02
27577298000,0.0,0.18,0.0,0.04,0.0,359.86,0.0,0.02
27677258000,0.0,0.16,0.0,0.04,0.0,359.85,0.0,0.02
27777218000,0.0,0.15,0.0,0.04,0.0,359.84,0.0,0.02
27877178000,0.0,0.14,0.0,0.04,0.0,359.83,0.0,0.02
27977138000,0.0,0.14,0.0,0.04,0.0,359.83,0.0,0.02
28077098000,0.0,0.14,0.0,0.04,0.0,359.82,0.0,0.02
28177058000,0.0,0.13,0.0,0.05,0.0,359.83,0.0,0.01
28277018000,0.0,0.13,0.0,0.05,0.0,359.83,0.0,0.01
28376978000,0.0,0.13,0.0,0.04,0.0,359.84,0.0,0.01
28476938000,0.0,0.13,0.0,0.03,0.0,359.84,0.0,0.01
28576898000,0.0,0.14,0.0,0.02,0.0,359.85,0.0,0.01
28676858000,0.0,0.15,0.0,0.02,0.0,359.85,0.0,0.01
28776818000,0.0,0.15,0.0,0.02,0.0,359.84,0.0,0.01
28876778000,0.0,0.15,0.0,0.02,0.0,359.83,0.0,0.01
28976738000,0.0,0.14,0.0,0.02,0.0,359.82,0.0,0.01
29076698000,0.0,0.13,0.0,0.01,0.0,359.82,0.0,0.01
29176658000,0.0,0.12,0.0,0.01,0.0,359.82,0.0,0.01
