received_time_ns,timestamp,timestamp_sample,valid,data_source,roll,pitch,yaw,throttle,sticks_moving,buttons
1775658519196914643,1775658519194853,1775658519192527,True,2,0.0,0.0,0.0,0.0,False,0
1775658519245115109,1775658519245252,1775658519241896,True,2,0.0,0.0,0.0,0.0,False,0
1775658519295813356,1775658519294872,1775658519292968,True,2,0.0,0.0,0.0,0.0,False,0
1775658519346725874,1775658519344751,1775658519342136,True,2,0.0,0.0,0.0,0.0,False,0
1775658519395384322,1775658519393698,1775658519392103,True,2,0.0,0.0,0.0,0.0,False,0
1775658519447739009,1775658519446058,1775658519442195,True,2,0.0,0.0,0.0,0.0,False,0
1775658519496289106,1775658519494512,1775658519492234,True,2,0.0,0.0,0.0,0.0,False,0
1775658519550616169,1775658519547222,1775658519543430,True,2,0.0,0.0,0.0,0.0,False,0
1775658519598568028,1775658519595864,1775658519592927,True,2,0.0,0.0,0.0,0.0,False,0
1775658519646311312,1775658519644565,1775658519642638,True,2,0.0,0.0,0.0,0.0,False,0
1775658519696081979,1775658519693626,1775658519693053,True,2,0.0,0.0,0.0,0.0,False,0
1775658519745354568,1775658519742716,1775658519742065,True,2,0.0,0.0,0.0,0.0,False,0
1775658519797322122,1775658519795864,1775658519793497,True,2,0.0,0.0,0.0,0.0,False,0
1775658519850368455,1775658519848884,1775658519845320,True,2,0.0,0.0,0.0,0.0,False,0
1775658519896045219,1775658519893732,1775658519892393,True,2,0.0,0.0,0.0,0.0,False,0
1775658519945879950,1775658519942718,1775658519942176,True,2,0.0,0.0,0.0,0.0,False,0
1775658519998155982,1775658519995512,1775658519992421,True,2,0.0,0.0,0.0,0.0,False,0
1775658520047546237,1775658520043512,1775658520042069,True,2,0.0,0.0,0.0,0.0,False,0
1775658520099093507,1775658520095512,1775658520093462,True,2,0.0,0.0,0.0,0.0,False,0
1775658520149370414,1775658520143512,1775658520142876,True,2,0.0,0.0,0.0,0.0,False,0
1775658520197700834,1775658520191512,1775658520191512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520246244757,1775658520239512,1775658520239512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520295464868,1775658520287512,1775658520287512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520345294546,1775658520335512,1775658520335512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520397135894,1775658520387512,1775658520387512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520448021311,1775658520435512,1775658520435512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520497858060,1775658520483512,1775658520483512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520545142372,1775658520531512,1775658520531512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520598222564,1775658520583512,1775658520583512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520647242804,1775658520631512,1775658520631512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520700778898,1775658520683512,1775658520683512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520744493305,1775658520727512,1775658520727512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520797169946,1775658520779512,1775658520779512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520847953859,1775658520827512,1775658520827512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520898831564,1775658520875512,1775658520875512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520947124096,1775658520923512,1775658520923512,True,2,0.0,0.0,0.0,0.0,False,0
1775658520999414627,1775658520975512,1775658520975512,True,2,0.0,0.0,0.0,0.0,False,0
1775658521047936600,1775658521023618,1775658521023618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521097248073,1775658521071618,1775658521071618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521146077725,1775658521119618,1775658521119618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521195755917,1775658521167618,1775658521167618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521245985339,1775658521215618,1775658521215618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521297457156,1775658521263618,1775658521263618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521348665774,1775658521311618,1775658521311618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521395900425,1775658521359618,1775658521359618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521449145194,1775658521411618,1775658521411618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521493723504,1775658521455618,1775658521455618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521546106965,1775658521507618,1775658521507618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521595346855,1775658521555618,1775658521555618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521643860380,1775658521603618,1775658521603618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521695851554,1775658521655618,1775658521655618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521744142649,1775658521703618,1775658521703618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521796775997,1775658521755618,1775658521755618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521846617004,1775658521803618,1775658521803618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521898314644,1775658521855618,1775658521855618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521946405515,1775658521903618,1775658521903618,True,2,0.0,0.0,0.0,0.0,False,0
1775658521994332194,1775658521951618,1775658521951618,True,2,0.0,0.0,0.0,0.0,False,0
1775658522048116196,1775658522003785,1775658522003785,True,2,0.0,0.0,0.0,0.0,False,0
1775658522097040186,1775658522051785,1775658522051785,True,2,0.0,0.0,0.0,0.0,False,0
1775658522146623533,1775658522099785,1775658522099785,True,2,0.0,1.561992394272238e-05,0.0,0.0,False,0
1775658522195567746,1775658522147785,1775658522147785,True,2,0.0,0.0067909108474850655,0.0,0.0,False,0
1775658522245522740,1775658522195785,1775658522195785,True,2,0.0,0.013789890334010124,0.0,0.0,False,0
1775658522295149607,1775658522243785,1775658522243785,True,2,0.0,0.020980460569262505,0.0,0.0,False,0
1775658522344441627,1775658522291785,1775658522291785,True,2,0.0,0.02821262925863266,0.0,0.0,False,0
1775658522397149665,1775658522343785,1775658522343785,True,2,0.0,0.035670194774866104,0.0,0.0,False,0
1775658522446147191,1775658522391785,1775658522391785,True,2,0.0,0.043403491377830505,0.0,0.0,False,0
1775658522494795598,1775658522439785,1775658522439785,True,2,0.0,0.050973933190107346,0.0,0.0,False,0
1775658522544798399,1775658522487785,1775658522487785,True,2,0.0,0.05870237201452255,0.0,0.0,False,0
1775658522595840236,1775658522535785,1775658522535785,True,2,0.0,0.06659024953842163,0.0,0.0,False,0
1775658522643653415,1775658522583785,1775658522583785,True,2,0.0,0.07453019917011261,0.0,0.0,False,0
1775658522696806283,1775658522635785,1775658522635785,True,2,0.0,0.08258093148469925,0.0,0.0,False,0
1775658522744086952,1775658522683785,1775658522683785,True,2,0.0,0.09070581942796707,0.0,0.0,False,0
1775658522793682043,1775658522731785,1775658522731785,True,2,0.0,0.09887460619211197,0.0,0.0,False,0
1775658522844535145,1775658522779785,1775658522779785,True,2,0.0,0.10707929730415344,0.0,0.0,False,0
1775658522898081131,1775658522831785,1775658522831785,True,2,0.0,0.11531417816877365,0.0,0.0,False,0
1775658522946318148,1775658522879785,1775658522879785,True,2,0.0,0.12355709820985794,0.0,0.0,False,0
1775658522998449901,1775658522931785,1775658522931785,True,2,0.0,0.1322784423828125,0.0,0.0,False,0
1775658523044653840,1775658522975785,1775658522975785,True,2,0.0,0.14006033539772034,0.0,0.0,False,0
1775658523093486280,1775658523024032,1775658523024032,True,2,0.0,0.14818930625915527,0.0,0.0,False,0
1775658523147094221,1775658523076032,1775658523076032,True,2,0.0,0.1563260704278946,0.0,0.0,False,0
1775658523196259365,1775658523124032,1775658523124032,True,2,0.0,0.16446435451507568,0.0,0.0,False,0
1775658523244436512,1775658523172032,1775658523172032,True,2,0.0,0.1722472906112671,0.0,0.0,False,0
1775658523297878054,1775658523224032,1775658523224032,True,2,0.0,0.18012136220932007,0.0,0.0,False,0
1775658523345320804,1775658523272032,1775658523272032,True,2,0.0,0.187705397605896,0.0,0.0,False,0
1775658523397468559,1775658523324032,1775658523324032,True,2,0.0,0.1951456367969513,0.0,0.0,False,0
1775658523447682114,1775658523372032,1775658523372032,True,2,0.0,0.20248568058013916,0.0,0.0,False,0
1775658523494886337,1775658523420032,1775658523420032,True,2,0.0,0.20960472524166107,0.0,0.0,False,0
1775658523545527442,1775658523468032,1775658523468032,True,2,0.0,0.21630661189556122,0.0,0.0,False,0
1775658523595039944,1775658523516032,1775658523516032,True,2,0.0,0.22279813885688782,0.0,0.0,False,0
1775658523646739765,1775658523568032,1775658523568032,True,2,0.0,0.229059100151062,0.0,0.0,False,0
1775658523697364230,1775658523616032,1775658523616032,True,2,0.0,0.23492228984832764,0.0,0.0,False,0
1775658523745719937,1775658523664032,1775658523664032,True,2,0.0,0.2404794692993164,0.0,0.0,False,0
1775658523794434522,1775658523712032,1775658523712032,True,2,0.0,0.24559804797172546,0.0,0.0,False,0
1775658523847583297,1775658523764032,1775658523764032,True,2,0.0,0.2504435181617737,0.0,0.0,False,0
1775658523896349401,1775658523812032,1775658523812032,True,2,0.0,0.2546784281730652,0.0,0.0,False,0
1775658523944519637,1775658523860032,1775658523860032,True,2,0.0,0.2584559917449951,0.0,0.0,False,0
1775658523995707812,1775658523908032,1775658523908032,True,2,0.0,0.26183652877807617,0.0,0.0,False,0
