scenario,amplitude_tier,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_command_throttle,baseline_min_actuator,baseline_sample_count,active_sample_count,aligned_sample_count,pulse_count_seen,triggered_pulse_count,pulse_trigger_rate,floor_hit_rate,baseline_false_trigger_rate,median_hit_latency_ms,recovery_rate,hit_pattern_consistency,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_090920_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090920_ardupilot_manual_pulse_train_throttle_r1,ok,0.55,0.1,156,34,190,5,3,0.6,0.6176470588235294,0.38461538461538464,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_090954_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090954_ardupilot_manual_pulse_train_throttle_r2,ok,0.55,0.1,156,33,189,5,3,0.6,0.5757575757575758,0.3974358974358974,0.0,0.4444444444444444,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_091028_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091028_ardupilot_manual_pulse_train_throttle_r3,ok,0.55,0.1,158,34,192,5,3,0.6,0.5882352941176471,0.3924050632911392,0.0,0.4444444444444444,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_091102_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091102_ardupilot_manual_pulse_train_throttle_r4,ok,0.55,0.1,158,33,191,5,3,0.6,0.6060606060606061,0.3860759493670886,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_091137_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091137_ardupilot_manual_pulse_train_throttle_r5,ok,0.55,0.1,156,34,190,5,3,0.6,0.5882352941176471,0.38461538461538464,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091211_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091211_ardupilot_manual_pulse_train_throttle_r1,ok,0.602,0.1,155,34,189,5,3,0.6,0.5882352941176471,0.3935483870967742,0.0,0.47058823529411764,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091245_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091245_ardupilot_manual_pulse_train_throttle_r2,ok,0.602,0.1,157,33,190,5,3,0.6,0.6060606060606061,0.3885350318471338,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091319_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091319_ardupilot_manual_pulse_train_throttle_r3,ok,0.602,0.1,158,32,190,5,3,0.6,0.59375,0.3924050632911392,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091353_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091353_ardupilot_manual_pulse_train_throttle_r4,ok,0.602,0.1,158,33,191,5,3,0.6,0.6060606060606061,0.3860759493670886,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091428_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091428_ardupilot_manual_pulse_train_throttle_r5,ok,0.602,0.1,157,34,191,5,3,0.6,0.5882352941176471,0.3885350318471338,0.0,0.4444444444444444,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091502_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091502_ardupilot_manual_pulse_train_throttle_r1,ok,0.602,0.1,158,33,191,5,3,0.6,0.6363636363636364,0.379746835443038,0.0,0.5555555555555556,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091536_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091536_ardupilot_manual_pulse_train_throttle_r2,ok,0.602,0.1,157,34,191,5,3,0.6,0.5882352941176471,0.3885350318471338,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091610_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091610_ardupilot_manual_pulse_train_throttle_r3,ok,0.602,0.1,160,31,191,5,3,0.6,0.6129032258064516,0.3875,0.0,0.5555555555555556,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091644_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091644_ardupilot_manual_pulse_train_throttle_r4,ok,0.602,0.1,158,33,191,5,3,0.6,0.6060606060606061,0.3860759493670886,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091719_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091719_ardupilot_manual_pulse_train_throttle_r5,ok,0.602,0.1,156,35,191,5,3,0.6,0.6,0.38461538461538464,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091753_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091753_ardupilot_manual_pulse_train_throttle_r1,ok,0.602,0.1,157,33,190,5,3,0.6,0.6060606060606061,0.3885350318471338,0.0,0.47058823529411764,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091827_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091827_ardupilot_manual_pulse_train_throttle_r2,ok,0.602,0.1,159,31,190,5,3,0.6,0.6129032258064516,0.389937106918239,0.0,0.47368421052631576,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091901_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091901_ardupilot_manual_pulse_train_throttle_r3,ok,0.602,0.1,158,33,191,5,3,0.6,0.6060606060606061,0.3860759493670886,0.0,0.47368421052631576,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091935_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091935_ardupilot_manual_pulse_train_throttle_r4,ok,0.602,0.1,157,33,190,5,3,0.6,0.6060606060606061,0.3821656050955414,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_092009_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_092009_ardupilot_manual_pulse_train_throttle_r5,ok,0.602,0.1,158,33,191,5,3,0.6,0.6060606060606061,0.3860759493670886,0.0,0.5,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
