received_time_ns,x,y,z,vx,vy,vz
1775925789421105440,-3936620.57466395,16604998.983870508,-2.374,0.28,0.29,-0.98
1775925789473359042,-3936620.552400052,16604999.09519,-2.467,0.29,0.27,-0.98
1775925789525374467,-3936620.552400052,16604999.09519,-2.467,0.29,0.25,-0.98
1775925789577365572,-3936620.552400052,16604999.09519,-2.563,0.29,0.23,-0.98
1775925789629245828,-3936620.552400052,16604999.09519,-2.563,0.28,0.21,-0.98
1775925789681160356,-3936620.530136154,16604999.195377542,-2.646,0.28,0.18,-0.98
1775925789733195557,-3936620.530136154,16604999.195377542,-2.646,0.27,0.15,-0.98
1775925789786119945,-3936620.530136154,16604999.195377542,-2.742,0.26,0.12,-0.98
1775925789838841645,-3936620.5078722555,16604999.295565082,-2.742,0.25,0.08,-0.98
1775925789891275567,-3936620.5078722555,16604999.295565082,-2.832,0.24,0.04,-0.98
1775925789943151023,-3936620.5078722555,16604999.295565082,-2.832,0.24,0.0,-0.98
1775925789995142736,-3936620.5078722555,16604999.295565082,-2.934,0.23,-0.03,-0.98
1775925790047252273,-3936620.485608358,16604999.362356778,-2.934,0.23,-0.07,-0.98
1775925790048485301,-3936620.485608358,16604999.362356778,-3.027,0.23,-0.11,-0.98
1775925790100131829,-3936620.485608358,16604999.362356778,-3.027,0.24,-0.16,-0.99
1775925790152344918,-3936620.485608358,16604999.362356778,-3.118,0.24,-0.2,-0.99
1775925790204233718,-3936620.4633444594,16604999.40688457,-3.118,0.24,-0.24,-0.99
1775925790256090262,-3936620.4633444594,16604999.40688457,-3.214,0.25,-0.27,-0.99
1775925790309480732,-3936620.4633444594,16604999.40688457,-3.214,0.25,-0.31,-0.99
1775925790361399677,-3936620.4633444594,16604999.40688457,-3.31,0.25,-0.34,-0.99
1775925790413423133,-3936620.4522125097,16604999.429148471,-3.31,0.25,-0.36,-0.99
1775925790465388894,-3936620.4522125097,16604999.429148471,-3.403,0.25,-0.38,-0.98
1775925790517303934,-3936620.4522125097,16604999.429148471,-3.403,0.25,-0.4,-0.98
1775925790569709760,-3936620.4522125097,16604999.429148471,-3.494,0.25,-0.41,-0.98
1775925790622064802,-3936620.429948612,16604999.429148471,-3.494,0.24,-0.41,-0.98
1775925790674055523,-3936620.429948612,16604999.429148471,-3.595,0.23,-0.42,-0.98
1775925790726355556,-3936620.429948612,16604999.429148471,-3.595,0.23,-0.42,-0.98
1775925790778347269,-3936620.429948612,16604999.429148471,-3.689,0.22,-0.41,-0.98
1775925790830735271,-3936620.4188166633,16604999.429148471,-3.689,0.21,-0.41,-0.98
1775925790883185833,-3936620.4188166633,16604999.429148471,-3.785,0.21,-0.4,-0.98
1775925790936244814,-3936620.4188166633,16604999.429148471,-3.785,0.21,-0.4,-0.98
1775925790989241330,-3936620.4188166633,16604999.429148471,-3.875,0.21,-0.4,-0.99
1775925791041312691,-3936620.4076847136,16604999.429148471,-3.875,0.21,-0.39,-0.99
1775925791093714421,-3936620.4076847136,16604999.429148471,-3.971,0.22,-0.39,-1.0
1775925791145714358,-3936620.4076847136,16604999.429148471,-3.971,0.23,-0.4,-1.0
1775925791197562326,-3936620.4076847136,16604999.429148471,-4.065,0.24,-0.41,-1.01
1775925791198832762,-3936620.4076847136,16604999.451412369,-4.065,0.25,-0.42,-1.01
1775925791250764667,-3936620.4076847136,16604999.451412369,-4.164,0.25,-0.42,-1.01
