received_time_ns,timestamp,timestamp_sample,valid,data_source,roll,pitch,yaw,throttle,sticks_moving,buttons
1775898765508239999,1775898764639411,1775898764639411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898765562438063,1775898764687411,1775898764687411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898765608275233,1775898764735411,1775898764735411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765660042263,1775898764783411,1775898764783411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765709269013,1775898764823411,1775898764823411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765763103946,1775898764871411,1775898764871411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765811007805,1775898764911411,1775898764911411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765857863647,1775898764951411,1775898764951411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765908792802,1775898764995411,1775898764995411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898765966250495,1775898765039411,1775898765039411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898766006890435,1775898765079411,1775898765079411,True,2,0.0,0.0,0.0,0.03999999910593033,False,0
1775898766069941993,1775898765131411,1775898765131411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898766114308371,1775898765171411,1775898765171411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898766166043785,1775898765211411,1775898765211411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898766210207030,1775898765251411,1775898765251411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898766265048924,1775898765299411,1775898765299411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898766306976524,1775898765339411,1775898765339411,True,2,0.0,0.0,0.0,-0.2840000092983246,True,0
1775898766364948545,1775898765387411,1775898765387411,True,2,0.0,0.0,0.0,-0.2840000092983246,False,0
1775898766413559048,1775898765435411,1775898765435411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
1775898766463780662,1775898765471411,1775898765471411,True,2,0.0,0.0,0.0,0.03999999910593033,True,0
