feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
command_throttle__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,3850.520025527257,-16241.820467874291,-0.0031696200633370406,-0.013421706242536864,0.0015336109756056667,0.021816255510616677,0.0031696200633370406,-0.021816255510616677,0.0
roll__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-57201.0336297521,241278.53344709793,0.009868711311153792,0.057600297209478776,0.07052304086638843,-0.0186761743515453,-0.009868711311153792,0.0186761743515453,0.0
pitch__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-51094.95667512404,215522.74291843167,-0.003943582092074776,0.027328095123862955,0.025265926008778465,-0.004355187235722443,0.003943582092074776,0.004355187235722443,0.0
yaw__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-1746.9010125411255,7368.5725108302195,-0.0003423210459447799,-0.0009455497148999407,0.0009593972142200907,-0.0009707330311610733,0.0003423210459447799,0.0009707330311610733,0.0
roll_rate__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,4330.430558213453,-18266.111744456797,0.0004929843478999154,-0.0021784152310267077,-0.0026302937104299034,0.0015288608279361163,-0.0004929843478999154,-0.0015288608279361163,0.0
pitch_rate__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-1896.0272261388245,7997.601877051314,-0.00045540958954991213,-0.0002151514555571004,0.0003727683196437486,-0.00137369066413289,0.00045540958954991213,0.00137369066413289,0.0
yaw_rate__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,9555.832518931702,-40307.26485212493,0.0008101859762743202,-0.006469462627242475,-0.011565969752686428,0.010834704350314469,-0.0008101859762743202,-0.010834704350314469,0.0
position_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,0.003755863294252635,-0.01584254977184863,-1.586729195895949e-11,-3.304618988664435e-11,-1.515443277279505e-11,3.3602551846576755e-10,1.586729195895949e-11,-3.3602551846576755e-10,0.0
position_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-0.000890460186065199,0.003756036551017384,3.762412150671239e-12,7.825564977322077e-12,3.5774998165384225e-12,-7.965725824234385e-11,-3.762412150671239e-12,7.965725824234385e-11,0.0
position_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-21585.048900407135,91047.5687086501,0.015064601521256228,-0.0006580108120897211,0.00017789872980527091,-0.0014068371410547328,-0.015064601521256228,0.0014068371410547328,0.0
velocity_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,148104.17194147984,-624715.4144531676,-0.00883576950614616,-0.04359575884702263,-0.14697837457405477,0.05690866720893985,0.00883576950614616,-0.05690866720893985,0.0
velocity_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-10382.8381127625,43795.6003101501,0.055234074722749674,-0.0902737948082098,-0.03483654000682021,0.049378991396157076,-0.055234074722749674,-0.049378991396157076,0.0
velocity_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,63054.64942910415,-265969.8712186975,0.022217900086869947,-0.006352675237980587,0.00381960155940939,-0.6273656135046407,-0.022217900086869947,0.6273656135046407,0.0
altitude__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,21585.04890039563,-91047.56870857999,-0.015064601521232951,0.0006580108120896429,-0.000177898729793086,0.0014068371410452477,0.015064601521232951,-0.0014068371410452477,0.0
vertical_speed__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-63054.649429016645,265969.8712182486,-0.02221790008687873,0.0063526752379410995,-0.003819601559459934,0.6273656135049819,0.02221790008687873,-0.6273656135049819,0.0
heading__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-1746.9010125538903,7368.572510884057,-0.00034232104598744424,-0.0009455497148935336,0.000959397214220723,-0.0009707330311881262,0.00034232104598744424,0.0009707330311881262,0.0
command_roll__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,726672.5721868905,-3065166.461011224,-0.07063077235352157,-0.03317274556388744,0.10375324170861047,-0.07610191234460084,0.07063077235352157,0.07610191234460084,0.0
command_pitch__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,4053013.3562186332,-17095954.12803685,0.20363749178427196,-0.022534340848430763,-0.11567237696735988,0.17838273169010876,-0.20363749178427196,-0.17838273169010876,0.0
command_yaw__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-5754531.686756203,24273102.74803946,-0.22572062231293244,0.06336589260608856,0.034021334628672226,-0.29460533194717364,0.22572062231293244,0.29460533194717364,0.0
command_throttle__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-47608.09760066113,200814.98572814587,0.002504565188178242,-0.011173878249317473,0.0011260777775333728,0.005372800117185299,-0.002504565188178242,-0.005372800117185299,0.0
roll__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-57201.03362932795,241278.53344530778,0.009868711310863625,0.05760029720947057,0.07052304086663075,-0.018676174352109724,-0.009868711310863625,0.018676174352109724,0.0
pitch__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-51094.956663600286,215522.7428697889,-0.003943582100121299,0.027328095125520282,0.02526592601101186,-0.00435518723469798,0.003943582100121299,0.00435518723469798,0.0
