received_time_ns,timestamp,roll,pitch,yaw,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775658564597664512,14296000,-0.00847096461802721,0.005050774663686752,-3.5770190152106807e-06,0.0,0.0,-0.0010000000474974513,False
1775658564617664512,14316000,-0.008588768541812897,0.005422448739409447,-8.402659659623168e-06,0.0,0.0,-0.0010000000474974513,False
1775658564637664512,14336000,-0.008652722463011742,0.005808867979794741,-1.4114429177425336e-05,0.0,0.0,-0.0010000000474974513,False
1775658564657664512,14356000,-0.008534358814358711,0.006275322288274765,-3.4276541555300355e-05,0.0,0.0,-0.0010000000474974513,False
1775658564673664512,14372000,-0.008457508869469166,0.006638036109507084,-2.7559050067793578e-05,0.0,0.0,-0.0010000000474974513,False
1775658564697664512,14396000,-0.008301552385091782,0.007143169175833464,-2.7296149710309692e-05,0.0,0.0,-0.0010000000474974513,False
1775658564717664512,14416000,-0.008168630301952362,0.007537516299635172,-1.3081185898045078e-05,0.0,0.0,-0.0010000000474974513,False
1775658564737664512,14436000,-0.008035538718104362,0.007892465218901634,-9.400357157574035e-06,0.0,0.0,-0.0010000000474974513,False
1775658564757664512,14456000,-0.007846693508327007,0.008263993076980114,-7.278322755155386e-06,0.0,0.0,-0.0010000000474974513,False
1775658564777664512,14476000,-0.0075911483727395535,0.008763259276747704,-1.2004838026768994e-05,0.0,0.0,-0.0010000000474974513,False
1775658564797664512,14496000,-0.007350726053118706,0.009251851588487625,-3.5124339774483815e-06,0.0,0.0,-0.0010000000474974513,False
1775658564817664512,14516000,-0.007104735821485519,0.009713712148368359,-7.176877261372283e-06,0.0,0.0,-0.0010000000474974513,False
1775658564837664512,14536000,-0.0068687996827065945,0.010129430331289768,-3.966089934692718e-06,0.0,0.0,-0.0010000000474974513,False
1775658564857664512,14556000,-0.006636885926127434,0.010515698231756687,-1.368766220366524e-06,0.0,0.0,-0.0010000000474974513,False
1775658564877664512,14576000,-0.006397224497050047,0.010892312973737717,2.4752612262091134e-06,0.0,0.0,-0.0010000000474974513,False
1775658564897664512,14596000,-0.006267284508794546,0.011335792951285839,1.7881833628052846e-05,0.0,0.0,-0.0010000000474974513,False
1775658564917664512,14616000,-0.006184838712215424,0.011782161891460419,7.0102669269545e-06,0.0,0.0,-0.0010000000474974513,False
1775658564933664512,14632000,-0.00612862640991807,0.012115434743463993,3.36671837430913e-06,0.0,0.0,-0.0010000000474974513,False
1775658564957664512,14656000,-0.006083555053919554,0.01258635614067316,4.623728273145389e-06,0.0,0.0,-0.0010000000474974513,False
1775658564977664512,14676000,-0.006045669782906771,0.012941432185471058,1.3149539881851524e-05,0.0,0.0,-0.0010000000474974513,False
1775658564997664512,14696000,-0.0060295420698821545,0.013277651742100716,1.125660446632537e-06,0.0,0.0,-0.0010000000474974513,False
