feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
roll__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,99531702.6235971,-419829367.26207346,0.03000657617664996,-0.04829450725446972,0.02844059234175502,-0.14156776613868066,-0.03000657617664996,0.14156776613868066,0.0
pitch__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,228957821.3147424,-965754816.9101593,0.0031559861887266467,-0.030476922267522664,0.005549754359966996,0.22597743440169527,-0.0031559861887266467,-0.22597743440169527,0.0
yaw__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-25.51570708743384,107.57238572528877,6.699360398913583e-05,-0.0010944682867937091,0.0016391019920558214,-0.012410827351976706,-6.699360398913583e-05,0.012410827351976706,0.0
roll_rate__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-16722.84566099837,70538.3754597125,-0.0010943255705865244,0.0009573335193886123,0.0009396654842341147,-0.00627908035545927,0.0010943255705865244,0.00627908035545927,0.0
pitch_rate__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-41183.831229190466,173716.86699451512,-0.0015423444868511921,0.0035093378369891823,-0.0011038866149730706,-0.01764402330343066,0.0015423444868511921,0.01764402330343066,0.0
yaw_rate__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,8184.745870775656,-34523.98460128778,0.0003246058274585218,-0.00020033951075724111,0.0007144971230784683,0.0021552195547425,-0.0003246058274585218,-0.0021552195547425,0.0
position_x__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-2011.8942300071303,8487.867660127275,-0.010109168603821005,0.010696912738442182,-0.004393847580499857,-0.0033949083691998017,0.010109168603821005,0.0033949083691998017,0.0
position_y__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-476.9687120648513,2012.2565319596363,-0.0023966252732788235,0.002535964412014617,-0.001041668818625356,-0.0008048463482814496,0.0023966252732788235,0.0008048463482814496,0.0
position_z__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,271271854.8277592,-1144237386.0273113,0.004682619966394448,-0.005748632328932849,0.003943510580566666,0.538163740249005,-0.004682619966394448,-0.538163740249005,0.0
velocity_x__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-101076.92830704017,426351.32598875737,0.0036449430480348212,-0.26566360110724174,-0.023193897774573258,-0.005847135974318986,-0.0036449430480348212,0.005847135974318986,0.0
velocity_y__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-232016.62163002556,978665.834292264,-0.005297914996399009,-0.011272949092070146,-0.26701405491601155,-0.06324007061631991,0.005297914996399009,0.06324007061631991,0.0
velocity_z__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,203195.68810777954,-857096.6432472111,-0.011774209823606038,0.004569415172338815,0.0005988295123290585,-0.021419655158391032,0.011774209823606038,0.021419655158391032,0.0
altitude__lag_2,0.0,0.0,0.0,0.0,0.0,0.0,-271271853.39832497,1144237379.9979432,-0.004683204958520633,0.0057498784162345745,-0.00394365511950922,-0.5381640772198258,0.004683204958520633,0.5381640772198258,0.0
