received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775885789229045760,15848000,0.0,0.0,0.0,0.0
1775885789429045760,16048000,0.0,0.0,0.0,0.0
1775885789633045760,16252000,0.0,0.0,0.0,0.0
1775885789829045760,16448000,0.0,0.0,0.0,0.0
1775885790037045760,16656000,0.0,0.0,0.0,0.0
1775885790229045760,16848000,0.0,0.0,0.0,0.0
1775885790429045760,17048000,0.0,0.0,0.0,0.0
1775885790633045760,17252000,0.0,0.0,0.0,0.0
1775885790821045760,17440000,0.0,0.0,0.0,0.0
1775885791029045760,17648000,0.0,0.0,0.0,0.0
1775885791229045760,17848000,0.0,0.0,0.0,0.0
1775885791429045760,18048000,0.0,0.0,0.0,0.0
1775885791629045760,18248000,0.0,0.0,0.0,0.0
1775885791833045760,18452000,0.0,0.0,0.0,0.0
1775885792025045760,18644000,-0.0008745131781324744,-0.0003919096780009568,-5.589400097960606e-05,0.0
1775885792229045760,18848000,-0.0033696002792567015,-0.001029859995469451,-0.00018683202506508678,0.0
1775885792429045760,19048000,-0.006200706120580435,-0.0011691872496157885,-0.000293466990115121,0.0
1775885792629045760,19248000,-0.00925524067133665,-0.0016002198681235313,-0.00041404602234251797,0.0
1775885792829045760,19448000,-0.012365059927105904,-0.002184730488806963,-0.0006041624583303928,0.0
1775885793029045760,19648000,-0.01541751716285944,-0.003306807717308402,-0.0008577034459449351,0.0
1775885793229045760,19848000,-0.017560848966240883,-0.004638755228370428,-0.0011377213522791862,0.0
1775885793429045760,20048000,-0.013246244750916958,-0.0034517243038862944,-0.001191736664623022,0.0
1775885793629045760,20248000,-0.009353896602988243,-0.0025381529703736305,-0.00106864667031914,0.0
1775885793833045760,20452000,-0.007866761647164822,-0.002092347014695406,-0.0008716901065781713,0.0
1775885794029045760,20648000,-0.0061948709189891815,-0.0016374069964513183,-0.0006597421015612781,0.0
1775885794225045760,20844000,-0.004744125064462423,-0.0012967594666406512,-0.0005054366774857044,0.0
1775885794429045760,21048000,-0.0034596649929881096,-0.0011339501943439245,-0.00038887839764356613,0.0
1775885794629045760,21248000,-0.00288316304795444,-0.0007806917419657111,-0.00029267583158798516,0.0
1775885794829045760,21448000,-0.002210128353908658,-0.0005747457616962492,-0.00029195277602411807,0.0
1775885795029045760,21648000,-0.0015679624630138278,-0.0002950467460323125,-0.00039443676359951496,0.0
1775885795229045760,21848000,-0.0014545365702360868,-0.00022704133880324662,-0.0005111742648296058,0.0
1775885795425045760,22044000,-0.0012597801396623254,-0.00019454142602626234,-0.0005408290307968855,0.0
1775885795629045760,22248000,-0.0007665231241844594,-0.00027304611285217106,-0.0004777961294166744,0.0
1775885795829045760,22448000,-0.0008732335409149528,-8.70345756993629e-05,-0.0004018802137579769,0.0
1775885796029045760,22648000,-0.0007932715234346688,8.589081699028611e-05,-0.0003192537114955485,0.0
1775885796229045760,22848000,-0.00037639931542798877,0.00021758898219559342,-0.0001959923974936828,0.0
