received_time_ns,timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,thrust_body_x,thrust_body_y,thrust_body_z,reset_integral
1775885783725045760,10344000,0.0,-0.0,1.5754038095474243,0.0,0.0,0.0,-0.0010000000474974513,False
1775885783777045760,10396000,0.0,-0.0,1.57582426071167,0.0,0.0,0.0,-0.0010000000474974513,False
1775885783821045760,10440000,0.0,-0.0,1.5760895013809204,0.0,0.0,0.0,-0.0010000000474974513,False
1775885783881045760,10500000,0.0,-0.0,1.576287865638733,0.0,0.0,0.0,-0.0010000000474974513,False
1775885783925045760,10544000,0.0,-0.0,1.5762755870819092,0.0,0.0,0.0,-0.0010000000474974513,False
1775885783981045760,10600000,0.0,-0.0,1.5761560201644897,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784025045760,10644000,0.0,-0.0,1.5761090517044067,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784081045760,10700000,0.0,-0.0,1.576079249382019,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784133045760,10752000,0.0,-0.0,1.576141595840454,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784181045760,10800000,0.0,-0.0,1.5762333869934082,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784221045760,10840000,0.0,-0.0,1.5763148069381714,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784281045760,10900000,0.0,-0.0,1.5764427185058594,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784329045760,10948000,0.0,-0.0,1.5765209197998047,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784377045760,10996000,0.0,-0.0,1.5766221284866333,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784425045760,11044000,0.0,-0.0,1.5767076015472412,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784481045760,11100000,0.0,-0.0,1.5767923593521118,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784537045760,11156000,0.0,-0.0,1.576856255531311,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784577045760,11196000,0.0,-0.0,1.5768877267837524,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784629045760,11248000,0.0,-0.0,1.5769602060317993,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784681045760,11300000,0.0,-0.0,1.5769883394241333,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784725045760,11344000,0.0,-0.0,1.576969861984253,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784773045760,11392000,0.0,-0.0,1.5770164728164673,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784829045760,11448000,0.0,-0.0,1.5771123170852661,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784877045760,11496000,0.0,-0.0,1.577176809310913,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784925045760,11544000,0.0,-0.0,1.5772405862808228,0.0,0.0,0.0,-0.0010000000474974513,False
1775885784981045760,11600000,0.0,-0.0,1.577322006225586,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785033045760,11652000,0.0,-0.0,1.5774506330490112,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785081045760,11700000,0.0,-0.0,1.5776315927505493,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785125045760,11744000,0.0,-0.0,1.5779281854629517,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785185045760,11804000,0.0,-0.0,1.5784834623336792,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785225045760,11844000,0.0,-0.0,1.578822135925293,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785281045760,11900000,0.0,-0.0,1.579163908958435,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785329045760,11948000,0.0,-0.0,1.5794413089752197,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785377045760,11996000,0.0,-0.0,1.5796658992767334,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785425045760,12044000,0.0,-0.0,1.5798815488815308,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785477045760,12096000,0.0,-0.0,1.580127239227295,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785525045760,12144000,0.0,-0.0,1.5803940296173096,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785585045760,12204000,0.0,-0.0,1.5806865692138672,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785621045760,12240000,0.0,-0.0,1.5808866024017334,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785677045760,12296000,0.0,-0.0,1.5811525583267212,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785729045760,12348000,0.0,-0.0,1.5813156366348267,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785777045760,12396000,0.0,-0.0,1.5814238786697388,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785821045760,12440000,0.0,-0.0,1.5814152956008911,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785877045760,12496000,0.0,-0.0,1.5813506841659546,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785925045760,12544000,0.0,-0.0,1.5812588930130005,0.0,0.0,0.0,-0.0010000000474974513,False
1775885785977045760,12596000,0.0,-0.0,1.5810394287109375,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786021045760,12640000,0.0,-0.0,1.5809061527252197,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786077045760,12696000,0.0,-0.0,1.5807219743728638,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786125045760,12744000,0.0,-0.0,1.5805389881134033,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786177045760,12796000,0.0,-0.0,1.580383539199829,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786225045760,12844000,0.0,-0.0,1.5802266597747803,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786289045760,12908000,0.0,-0.0,1.58000910282135,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786329045760,12948000,0.0,-0.0,1.5798296928405762,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786381045760,13000000,0.0,-0.0,1.5795714855194092,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786433045760,13052000,0.0,-0.0,1.5793023109436035,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786481045760,13100000,0.0,-0.0,1.57901132106781,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786529045760,13148000,0.0,-0.0,1.5787978172302246,0.0,0.0,0.0,-0.0010000000474974513,False
1775885786585045760,13204000,0.0,-0.0,1.578587532043457,0.0,0.0,0.0,-0.0010000000474974513,False
