feature,actuator_1,actuator_2,actuator_3,actuator_4
altitude__lag_1,0.011250736794921414,0.011369367326678028,0.010279665514494017,0.010317632653966907
vertical_speed__lag_1,0.005194447391723369,0.005251727231345001,0.0047956600295785135,0.00480716948739297
heading__lag_1,-0.02903689758203594,-0.029100360088199266,-0.030222721875481934,-0.030162564892306898
command_roll__lag_2,0.13013921491704883,0.1294059987204382,0.12050944931097876,0.11827397056429298
command_pitch__lag_2,0.3237512043164475,0.31431161062034185,0.33422667458980954,0.2987443090398004
command_yaw__lag_2,0.0077075223817012145,0.0066922063243830664,0.003266133181099665,0.0026053682702324014
command_throttle__lag_2,0.011254411092372747,0.011409474959060882,0.004943166748619757,0.004524421713962739
roll__lag_2,1.1855721958550398,1.1666788826138785,1.2034915592167845,1.2153853227540776
pitch__lag_2,1.4792659823511662,1.4870865309423675,1.1876919113351865,1.1035954973360533
yaw__lag_2,0.07317022839018239,0.07179127976478564,0.08021897083279661,0.07903592916091551
roll_rate__lag_2,0.21105457102002184,0.2123702074862784,-0.13161171363289523,-0.12800232821906543
pitch_rate__lag_2,-0.1472616232547923,-0.16110012830051507,0.020142372958922544,0.006341482442306874
yaw_rate__lag_2,-0.3703051739328483,-0.37342873100452467,0.19468754044224607,0.19495454736761608
position_x__lag_2,0.026162685903555936,0.02607795920906394,-0.003627577032685678,-0.003182501448723559
position_y__lag_2,0.009173828708257774,0.0068524331328596935,0.12612743469497514,0.12310447160893505
position_z__lag_2,-0.006147904450139378,-0.005683451534328153,-0.01055292325361792,-0.009958174926383258
velocity_x__lag_2,-0.07606315437451046,-0.0740383677689552,-0.03883819811023718,-0.051722329333826596
velocity_y__lag_2,-0.013214469005647584,-0.010483448779621398,-0.04822857608512213,-0.041298581084853556
velocity_z__lag_2,-0.11035051891081604,-0.11250542584070974,-0.10374424573978017,-0.10555011700562883
altitude__lag_2,0.002373085240751625,0.002385475439612991,0.0026421374544599733,0.002591268399104443
vertical_speed__lag_2,0.0008820172198223793,0.0008956441878541626,0.0008414660839336612,0.0008563280896818535
heading__lag_2,0.05704262942995654,0.05630660974645525,0.024523406868822813,0.02453984625108168
command_roll__lag_3,0.29829929830721164,0.29307753792212,0.3141192792250504,0.3106601100038801
command_pitch__lag_3,0.4841356179932382,0.473951791951812,0.4159214630557587,0.39152125199979826
command_yaw__lag_3,0.18890360260410421,0.18976973165636746,0.15944923838260763,0.15782241128617797
command_throttle__lag_3,-0.05761908071951169,-0.055730525534328744,-0.06892334552242659,-0.06728838483850433
roll__lag_3,-1.2579098499021448,-1.2480600877385262,-1.1882380160898984,-1.1810400979176041
pitch__lag_3,-0.3898285005282532,-0.4188802562963441,0.10293826650504279,0.1889344098673131
yaw__lag_3,0.07941241536083948,0.07740910361167866,0.08556512430951815,0.08398601530670599
roll_rate__lag_3,0.08215446169917232,0.10785301287291402,-0.0035069093902395133,0.015594893101765754
pitch_rate__lag_3,0.10842238422028279,0.12656277038525943,-0.17916809784753648,-0.14484860405294891
yaw_rate__lag_3,-0.11925114601580908,-0.11233164236713677,0.1592883038671138,0.16281371737790296
position_x__lag_3,0.014979088558664677,0.013737442549546598,0.004091857365126433,0.0052558925803241905
position_y__lag_3,0.06341191880258626,0.06152532507830895,0.10909427912714849,0.10421837197008504
position_z__lag_3,-0.01805896839480558,-0.01753503321325115,-0.017857512710211382,-0.017151875909313934
velocity_x__lag_3,-0.10106461374801058,-0.09795830682847781,-0.06836885287830963,-0.08205117000962643
velocity_y__lag_3,0.08776905679244498,0.08980505223565124,-0.01042065789079728,-0.0003955990238156022
velocity_z__lag_3,0.6604627213564558,0.6655766734506586,0.6395968263961013,0.6391669245469769
altitude__lag_3,-0.011037072259339236,-0.011133780213608186,-0.009748752362063004,-0.00985219216702958
vertical_speed__lag_3,-0.0049728732375901655,-0.005019407950360373,-0.00439183830042254,-0.004431167024645245
heading__lag_3,0.13422623025312036,0.13335606859002297,0.10136073930174354,0.10086901713734567
