feature,delta_state_roll,delta_state_pitch,delta_state_yaw,delta_state_roll_rate,delta_state_pitch_rate,delta_state_yaw_rate,delta_state_position_x,delta_state_position_y,delta_state_position_z,delta_state_velocity_x,delta_state_velocity_y,delta_state_velocity_z,delta_state_altitude,delta_state_vertical_speed,delta_state_heading
position_z,0.0,0.0,0.0,0.0,0.0,0.0,-126715.40985814504,534496.3687971074,-0.08730777426596575,0.0018813111391834257,-0.011562034340977443,-0.033847438410989555,0.08730777426596575,0.033847438410989555,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0,-728337.0646312663,3072186.8634933485,-0.07761052698910795,0.7939055780229229,0.0908381119885386,-0.37965410169100766,0.07761052698910795,0.37965410169100766,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0,457377.1959720512,-1929256.7786285088,-0.22620675044468275,0.06764262968029153,0.8649994644974032,0.07261898099160807,0.22620675044468275,-0.07261898099160807,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0,-91431.61383877839,385666.3092961523,0.026393721633001972,0.0005698164704206726,-0.007577061076831407,0.6923108024027489,-0.026393721633001972,-0.6923108024027489,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0,130017.16562596198,-548423.379261487,0.08601105335909728,0.002214181153797733,0.012589428547474486,0.032882073602360264,-0.08601105335909728,-0.032882073602360264,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0,91742.51803760583,-386977.75522869435,-0.026331707076007148,-0.0015201807898489999,0.00717541279674349,-0.6931743094396261,0.026331707076007148,0.6931743094396261,0.0
heading,0.0,0.0,0.0,0.0,0.0,0.0,-687.5109215664415,2899.9538269128975,-0.0016741952535462503,0.0010122795537693455,0.0036860100932460966,-0.002408378396215825,0.0016741952535462503,0.002408378396215825,0.0
command_roll__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,1266918.635969536,-5343969.908130435,0.11278188648354749,-0.019060977986784938,0.1359639396408288,-0.04648213261226307,-0.11278188648354749,0.04648213261226307,0.0
command_pitch__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,1914841.3002184716,-8076963.304708067,-0.2862013884332495,0.0014972582959751034,-0.09114485863871663,0.2593913395397993,0.2862013884332495,-0.2593913395397993,0.0
command_yaw__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-2648225.973529868,11170441.900321,0.34905282560983175,-0.010211008956120543,-0.05807584100282072,-0.5718932145288688,-0.34905282560983175,0.5718932145288688,0.0
command_throttle__lag_1,0.0,0.0,0.0,0.0,0.0,0.0,-1419719.2569011627,5988496.517549688,-0.6752333634854544,-0.7534421316744733,0.38358630735283294,1.8848849863717687,0.6752333634854544,-1.8848849863717687,0.0
