received_time_ns,x,y,z,vx,vy,vz
1775929847249214547,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847301458093,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847353282094,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847405318252,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847457184492,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847510374970,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847562282585,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847614969358,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847667071275,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847719611169,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847772377301,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847824522161,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847825784607,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847877669599,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847929916474,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929847983228997,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848037316870,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848089951419,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848141790108,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848193725180,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848245796985,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848298295184,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848351686011,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848404104819,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848456407790,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848508973988,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848560975426,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848614069553,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848666597896,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848719191902,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848771706869,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848772934980,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
1775929848874963133,-3936620.3297610707,16604998.271425765,0.027,0.0,0.0,-0.03
