received_time_ns,voltage_battery,current_battery,battery_remaining,drop_rate_comm
1775762434517172262,12587,0,100,0
1775762434570642094,12587,0,100,0
1775762434623999587,12587,0,100,0
1775762434676124419,12587,0,100,0
1775762434728828354,12587,0,100,0
1775762434782583498,12587,0,100,0
1775762434836378670,12587,0,100,0
1775762434890158420,12587,0,100,0
1775762434944230073,12587,0,100,0
1775762434998010207,12587,0,100,0
1775762435051847236,12587,0,100,0
1775762435105617553,12587,0,100,0
1775762435159448184,12587,0,100,0
1775762435212760185,12587,0,100,0
1775762435266223433,12587,0,100,0
1775762435269178461,12587,0,100,0
1775762435322511548,12587,0,100,0
1775762435376459445,12587,0,100,0
1775762435430235618,12587,0,100,0
1775762435484144896,12587,0,100,0
1775762435537873010,12587,0,100,0
1775762435591373534,12587,0,100,0
1775762435643640436,12587,0,100,0
1775762435695991872,12587,0,100,0
1775762435749358715,12587,0,100,0
1775762435803109355,12587,0,100,0
1775762435857030631,12587,0,100,0
1775762435910778295,12587,0,100,0
1775762435964581569,12587,0,100,0
1775762435967428577,12587,0,100,0
1775762436020811356,12587,0,100,0
1775762436074721569,12587,0,100,0
1775762436128575403,12587,0,100,0
1775762436182285574,12587,0,100,0
1775762436236302622,12587,0,100,0
1775762436290066675,12587,0,100,0
1775762436344140293,12587,0,100,0
1775762436397977042,12587,0,100,0
1775762436451920658,12587,0,100,0
1775762436505765598,12587,0,100,0
1775762436559788310,12587,0,100,0
1775762436613648351,12587,0,100,0
1775762436667481868,12587,0,100,0
1775762436670469117,12587,0,100,0
1775762436724128862,12587,0,100,0
1775762436778046273,12587,0,100,0
1775762436831927465,12587,0,100,0
1775762436885689534,12587,0,100,0
1775762436939574757,12587,0,100,0
1775762436993410258,12587,0,100,0
1775762437047130001,12587,0,100,0
1775762437100779097,12587,0,100,0
1775762437154356905,12587,0,100,0
1775762437208060843,12587,0,100,0
1775762437261843332,12587,0,100,0
1775762437315505803,12587,0,100,0
1775762437318455584,12587,0,100,0
1775762437371899584,12587,0,100,0
1775762437425686488,12587,0,100,0
1775762437479631583,12587,0,100,0
1775762437533338785,12587,0,100,0
1775762437587337762,12587,0,100,0
1775762437640901812,12587,0,100,0
1775762437692936848,12587,0,100,0
1775762437744948688,12587,0,100,0
1775762437798240032,12587,0,100,0
1775762437852096017,12587,0,100,0
1775762437905700158,12587,0,100,0
1775762437959487127,12587,0,100,0
1775762438013205241,12587,0,100,0
1775762438066908929,12587,0,100,0
1775762438069874133,12587,0,100,0
1775762438123533667,12587,0,100,0
1775762438177329217,12587,0,100,0
1775762438231143102,12587,0,100,0
1775762438284937084,12587,0,100,0
1775762438338545039,12587,0,100,0
1775762438392499388,12587,0,100,0
1775762438446201733,12587,0,100,0
1775762438500030975,12587,0,100,0
1775762438553800000,12587,0,100,0
1775762438607872832,12587,0,100,0
1775762438661822253,12587,0,100,0
1775762438715696386,12587,0,100,0
1775762438718602301,12587,0,100,0
1775762438772003112,12587,0,100,0
1775762438825993264,12587,0,100,0
1775762438879832362,12587,0,100,0
1775762438933875436,12587,0,100,0
1775762438987761184,12587,0,100,0
1775762439041653497,12587,0,100,0
1775762439095793431,12587,0,100,0
1775762439149611385,12587,0,100,0
1775762439203449625,12587,0,100,0
1775762439257341619,12587,0,100,0
1775762439311379965,12587,0,100,0
1775762439365278071,12587,0,100,0
1775762439419181327,12587,0,100,0
1775762439422098409,12587,0,100,0
1775762439475816567,12587,0,100,0
1775762439529438351,12587,0,100,0
1775762441584763574,12587,0,100,0
1775762441587962226,12587,0,100,0
1775762441590472058,12587,0,100,0
1775762441592976131,12587,0,100,0
1775762441595585088,12587,0,100,0
1775762441598001298,12587,0,100,0
1775762441600428804,12587,0,100,0
1775762441602961225,12587,0,100,0
1775762441605667899,12587,0,100,0
1775762441608210944,12587,0,100,0
1775762441610642577,12587,0,100,0
1775762441613107134,12587,0,100,0
1775762441615534191,12587,0,100,0
1775762441618118927,12587,0,100,0
1775762441620548416,12587,0,100,0
1775762441622950676,12587,0,100,0
1775762441625373958,12587,0,100,0
1775762441627908236,12587,0,100,0
1775762441630326046,12587,0,100,0
1775762441632708660,12587,0,100,0
1775762441635103082,12587,0,100,0
1775762441637281047,12587,0,100,0
1775762441639432679,12587,0,100,0
1775762441641358160,12587,0,100,0
1775762441643208994,12587,0,100,0
1775762441645082737,12587,0,100,0
1775762441646937410,12587,0,100,0
1775762441648824656,12587,0,100,0
1775762441650526290,12587,0,100,0
1775762441652203351,12587,0,100,0
1775762441653779015,12587,0,100,0
1775762441655756139,12587,0,100,0
1775762441657264483,12587,0,100,0
1775762441658974820,12587,0,100,0
1775762441660460158,12587,0,100,0
1775762441661980213,12587,0,100,0
1775762441663427187,12587,0,100,0
1775762441664817656,12587,0,100,0
1775762441666149764,12587,0,100,0
1775762441667506829,12587,0,100,0
1775762441669029091,12587,0,100,0
1775762441670318035,12587,0,100,0
1775762441671619426,12587,0,100,0
