received_time_ns,timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1775659015053967104,19856000,0.0,0.0,0.0,0.0
1775659015253967104,20056000,0.0,0.0,0.0,0.0
1775659015453967104,20256000,0.0,0.0,0.0,0.0
1775659015653967104,20456000,0.0,0.0,0.0,0.0
1775659015853967104,20656000,-0.0003398254339117557,-2.8737798857036978e-05,7.361508323810995e-06,0.0
1775659016053967104,20856000,-0.0019717980176210403,-0.0004356292774900794,4.8585508920950815e-05,0.0
1775659016253967104,21056000,-0.001649594632908702,-0.0012406877940520644,5.8496283600106835e-05,0.0
1775659016453967104,21256000,-0.0009516810532659292,-0.003260970115661621,3.201594154234044e-05,0.0
1775659016649967104,21452000,-7.438273314619437e-06,-0.005842625629156828,1.1802580047515221e-05,0.0
1775659016853967104,21656000,0.0014673934783786535,-0.009431256912648678,-2.818374014168512e-05,0.0
1775659017053967104,21856000,0.003197300247848034,-0.013114041648805141,-5.540089841815643e-05,0.0
1775659017253967104,22056000,0.003664645366370678,-0.01155215222388506,0.00010340257722418755,0.0
1775659017453967104,22256000,0.0020243562757968903,-0.008051561191678047,0.0002996674447786063,0.0
1775659017653967104,22456000,0.001430336618795991,-0.006480563431978226,0.0003742628323379904,0.0
1775659017853967104,22656000,0.0010768998181447387,-0.005125794559717178,0.00025677349185571074,0.0
1775659018053967104,22856000,0.0013404698111116886,-0.0038832298014312983,5.451152901514433e-05,0.0
1775659018253967104,23056000,0.0012969939270988107,-0.0031329658813774586,-5.582883022725582e-05,0.0
1775659018453967104,23256000,0.0008570084464736283,-0.0024344478733837605,-6.88123400323093e-05,0.0
1775659018653967104,23456000,0.0005505440640263259,-0.0017915311036631465,-3.30810398736503e-05,0.0
1775659018849967104,23652000,0.0006732460460625589,-0.0013586848508566618,2.62316480075242e-05,0.0
1775659019053967104,23856000,0.0003649190766736865,-0.0008411411545239389,0.0001023633885779418,0.0
1775659019253967104,24056000,7.549627480329946e-05,-0.00084928038995713,0.00018371152691543102,0.0
1775659019453967104,24256000,-8.814475586405024e-05,-0.0007407669327221811,0.00022662254923488945,0.0
1775659019653967104,24456000,9.845380191109143e-06,-0.00034545265953056514,0.00020595529349520802,0.0
1775659019853967104,24656000,0.00015460864233318716,-0.0003661855007521808,0.00016658379172440618,0.0
1775659020053967104,24856000,0.00017673282127361745,-0.0002465797879267484,0.0001593022170709446,0.0
1775659020253967104,25056000,0.00011460915993666276,-5.721264460589737e-05,0.00013671466149389744,0.0
1775659020453967104,25256000,-8.882132533472031e-05,-0.00011770929268095642,7.683010335313156e-05,0.0
1775659020653967104,25456000,5.0462334911571816e-05,3.774614742724225e-05,2.5835913675109623e-06,0.0
1775659020853967104,25656000,-8.930936019169167e-05,0.00013407653023023158,-8.8336288172286e-05,0.0
1775659021053967104,25856000,-0.00018888049817178398,9.057631541509181e-05,-0.0001429359253961593,0.0
1775659021253967104,26056000,-2.6120940674445592e-05,-6.942642357898876e-05,-0.00013047644461039454,0.0
1775659021453967104,26256000,7.109781290637329e-05,-0.00011151319631608203,-7.255618402268738e-05,0.0
1775659021653967104,26456000,-4.290738615964074e-06,4.368228474049829e-05,-3.912487954949029e-05,0.0
1775659021853967104,26656000,0.00016071465506684035,0.00015552261902485043,-1.0169812412641477e-05,0.0
1775659022053967104,26856000,0.00018693205493036658,0.00019165928824804723,1.0173295777349267e-05,0.0
1775659022253967104,27056000,0.0001820490724639967,8.326996612595394e-05,-1.1458570952527225e-05,0.0
1775659022453967104,27256000,-0.00010096925689140335,-0.00021474053210113198,-4.0670502130524255e-06,0.0
1775659022653967104,27456000,-0.0002669162640813738,4.7274465032387525e-05,5.983988012303598e-05,0.0
