received_time_ns,voltage_battery,current_battery,battery_remaining,drop_rate_comm
1775929709571076982,12587,0,100,0
1775929709622995555,12587,0,100,0
1775929709675651300,12587,0,100,0
1775929709727721742,12587,0,100,0
1775929709780231570,12587,0,100,0
1775929709832184061,12587,0,100,0
1775929709884809823,12587,0,100,0
1775929709937048935,12587,0,100,0
1775929709989054930,12587,0,100,0
1775929710041317337,12587,0,100,0
1775929710093298212,12587,0,100,0
1775929710146107108,12587,0,100,0
1775929710198149166,12587,0,100,0
1775929710250765456,12587,0,100,0
1775929710302906457,12587,0,100,0
1775929710354963652,12587,0,100,0
1775929710409006129,12587,0,100,0
1775929710460870174,12587,0,100,0
1775929710512748907,12587,0,100,0
1775929710564546233,12587,0,100,0
1775929710616591012,12587,0,100,0
1775929710618333642,12587,0,100,0
1775929710670567794,12587,0,100,0
1775929710722755739,12587,0,100,0
1775929710774531625,12587,0,100,0
1775929710826313527,12587,0,100,0
1775929710878145221,12587,0,100,0
1775929710930062609,12587,0,100,0
1775929710982058876,12587,0,100,0
1775929711034413571,12587,0,100,0
1775929711088485520,12587,0,100,0
1775929711141221680,12587,0,100,0
1775929711193510615,12587,0,100,0
1775929711245337605,12587,0,100,0
1775929711297152403,12587,0,100,0
1775929711349086655,12587,0,100,0
1775929711401973438,12587,0,100,0
1775929711454149159,12587,0,100,0
1775929711507782138,12587,0,100,0
1775929711559717478,12587,0,100,0
1775929711614975394,12587,0,100,0
1775929711616300527,12587,0,100,0
1775929711718349442,12587,0,100,0
1775929711720462563,12587,0,100,0
1775929711772853481,12587,0,100,0
1775929711825024082,12587,0,100,0
1775929711876959582,12587,0,100,0
1775929711928815275,12587,0,100,0
1775929711981353807,12587,0,100,0
1775929712033333243,12587,0,100,0
1775929712086434902,12587,0,100,0
1775929712138185957,12587,0,100,0
1775929712190186481,12587,0,100,0
1775929712242292730,12587,0,100,0
1775929712294298438,12587,0,100,0
1775929712346455599,12587,0,100,0
1775929712398309693,12587,0,100,0
1775929712450408647,12587,0,100,0
1775929712503297573,12587,0,100,0
1775929712555445038,12587,0,100,0
1775929712607167230,12587,0,100,0
1775929712659091371,12587,0,100,0
1775929712711242420,12587,0,100,0
1775929712763054562,12587,0,100,0
1775929712815631205,12587,0,100,0
1775929712867568881,12587,0,100,0
1775929712868811455,12587,0,100,0
1775929712920359281,12587,0,100,0
1775929712972456603,12587,0,100,0
1775929713024850561,12587,0,100,0
1775929713078602707,12587,0,100,0
1775929713130454113,12587,0,100,0
1775929713183138531,12587,0,100,0
1775929713235301932,12587,0,100,0
1775929713287746641,12587,0,100,0
1775929713341110185,12587,0,100,0
1775929713393256403,12587,0,100,0
1775929713445722071,12587,0,100,0
1775929713497880993,12587,0,100,0
1775929713550769279,12587,0,100,0
1775929713603013031,12587,0,100,0
1775929713654930452,12587,0,100,0
1775929715709237538,12587,0,100,0
1775929715710675501,12587,0,100,0
1775929715711613184,12587,0,100,0
1775929715712508947,12587,0,100,0
1775929715713372774,12587,0,100,0
1775929715714384311,12587,0,100,0
1775929715715256619,12587,0,100,0
1775929715716114686,12587,0,100,0
1775929715716970738,12587,0,100,0
1775929715718731192,12587,0,100,0
1775929715720083525,12587,0,100,0
1775929715721818283,12587,0,100,0
1775929715723118168,12587,0,100,0
1775929715724380870,12587,0,100,0
1775929715726079373,12587,0,100,0
1775929715727541112,12587,0,100,0
1775929715728759302,12587,0,100,0
1775929715729929269,12587,0,100,0
1775929715731143716,12587,0,100,0
1775929715732301267,12587,0,100,0
1775929715733819869,12587,0,100,0
1775929715735286536,12587,0,100,0
1775929715736398199,12587,0,100,0
1775929715737779555,12587,0,100,0
1775929715738683286,12587,0,100,0
1775929715739538858,12587,0,100,0
1775929715740396797,12587,0,100,0
1775929715741250289,12587,0,100,0
1775929715742248162,12587,0,100,0
1775929715743106710,12587,0,100,0
1775929715743969897,12587,0,100,0
1775929715744821117,12587,0,100,0
1775929715746006412,12587,0,100,0
1775929715746897759,12587,0,100,0
1775929715747883408,12587,0,100,0
1775929715748763140,12587,0,100,0
1775929715750037585,12587,0,100,0
1775929715751376798,12587,0,100,0
1775929715752327984,12587,0,100,0
1775929715753266082,12587,0,100,0
1775929715754228180,12587,0,100,0
1775929715755330468,12587,0,100,0
